user_id,course_id,rating
4,DS101,4.1
10,CND401,3.9
6,WD501,4.4
2,CS601,4.2
7,DL701,4.3
9,CSF701,4.0
5,NLP901,4.5
8,DBMS701,4.2
1,RA701,4.3
3,QC101,4.1
8,MAD501,4.6
6,EHT401,4.4
7,WD501,4.7
5,CS601,4.1
9,DL701,4.2
2,CSF701,3.8
4,NLP901,4.3
1,DBMS701,4.0
10,RA701,4.5
3,QC101,4.2
5,MAD501,4.7
8,EHT401,4.5
6,WD501,4.2
2,CS601,4.6
9,DL701,4.5
7,CSF701,4.3
4,NLP901,4.2
1,DBMS701,4.1
3,RA701,4.6
10,QC101,4.4
8,MAD501,4.3
5,EHT401,4.8
6,WD501,4.3
2,CS601,4.1
7,DL701,4.2
9,CSF701,4.7
4,NLP901,4.6
1,DBMS701,4.5
3,RA701,4.4
10,QC101,4.3
8,MAD501,4.2
5,EHT401,4.1
6,WD501,4.6
2,CS601,4.5
7,DL701,4.4
9,CSF701,4.1
4,NLP901,4.0
1,DBMS701,4.7
3,RA701,4.2
10,QC101,4.1
8,MAD501,4.0
5,EHT401,4.5
6,WD501,4.1
2,CS601,4.4
7,DL701,4.3
9,CSF701,4.2
4,NLP901,4.1
1,DBMS701,4.6
3,RA701,4.5
10,QC101,4.0
8,MAD501,4.8
5,EHT401,4.7
6,WD501,4.4
2,CS601,4.3
7,DL701,4.2
9,CSF701,4.1
4,NLP901,4.6
1,DBMS701,4.5
3,RA701,4.4
10,QC101,4.3
8,MAD501,4.2
5,EHT401,4.1
6,WD501,4.6
2,CS601,4.5
7,DL701,4.4
9,CSF701,4.3
4,NLP901,4.2
1,DBMS701,4.1
3,RA701,4.6
10,QC101,4.4
8,MAD501,4.3
5,EHT401,4.8
6,WD501,4.3
2,CS601,4.1
7,DL701,4.2
9,CSF701,4.7
4,NLP901,4.6
1,DBMS701,4.5
3,RA701,4.2
10,QC101,4.1
8,MAD501,4.0
5,EHT401,4.5
6,WD501,4.1
2,CS601,4.4
7,DL701,4.3
9,CSF701,4.2
